Date,Value
2020-12-31,260.474
2020-11-30,260.229
2020-10-31,260.388
2020-09-30,260.28
2020-08-31,259.918
2020-07-31,259.101
2020-06-30,257.797
2020-05-31,256.394
2020-04-30,256.389
2020-03-31,258.115
2020-02-29,258.678
2020-01-31,257.971
2019-12-31,256.974
