,날짜,종가
139,2021-05-06 19:00:00,81900.0
140,2021-05-06 20:00:00,81900.0
141,2021-05-06 21:00:00,81900.0
142,2021-05-06 22:00:00,81900.0
143,2021-05-06 23:00:00,81900.0
144,2021-05-07 00:00:00,81900.0
145,2021-05-07 01:00:00,81900.0
146,2021-05-07 02:00:00,81900.0
147,2021-05-07 03:00:00,81900.0
148,2021-05-07 04:00:00,81900.0
149,2021-05-07 05:00:00,81900.0
150,2021-05-07 06:00:00,81900.0
151,2021-05-07 07:00:00,81900.0
152,2021-05-07 08:00:00,81900.0
153,2021-05-07 09:00:00,81900.0
154,2021-05-07 10:00:00,81700.0
155,2021-05-07 11:00:00,82000.0
156,2021-05-07 12:00:00,81800.0
157,2021-05-07 13:00:00,82000.0
158,2021-05-07 14:00:00,82000.0
159,2021-05-07 15:00:00,81900.0
160,2021-05-07 16:00:00,81900.0
161,2021-05-07 17:00:00,81900.0
162,2021-05-07 18:00:00,81900.0
163,2021-05-07 19:00:00,81900.0
164,2021-05-07 20:00:00,81900.0
165,2021-05-07 21:00:00,81900.0
166,2021-05-07 22:00:00,81900.0
167,2021-05-07 23:00:00,81900.0
168,2021-05-08 00:00:00,81900.0
169,2021-05-08 01:00:00,81900.0
170,2021-05-08 02:00:00,81900.0
171,2021-05-08 03:00:00,81900.0
172,2021-05-08 04:00:00,81900.0
173,2021-05-08 05:00:00,81900.0
174,2021-05-08 06:00:00,81900.0
175,2021-05-08 07:00:00,81900.0
176,2021-05-08 08:00:00,81900.0
177,2021-05-08 09:00:00,81900.0
178,2021-05-08 10:00:00,81900.0
179,2021-05-08 11:00:00,81900.0
180,2021-05-08 12:00:00,81900.0
181,2021-05-08 13:00:00,81900.0
182,2021-05-08 14:00:00,81900.0
183,2021-05-08 15:00:00,81900.0
184,2021-05-08 16:00:00,81900.0
185,2021-05-08 17:00:00,81900.0
186,2021-05-08 18:00:00,81900.0
187,2021-05-08 19:00:00,81900.0
188,2021-05-08 20:00:00,81900.0
189,2021-05-08 21:00:00,81900.0
190,2021-05-08 22:00:00,81900.0
191,2021-05-08 23:00:00,81900.0
192,2021-05-09 00:00:00,81900.0
193,2021-05-09 01:00:00,81900.0
194,2021-05-09 02:00:00,81900.0
195,2021-05-09 03:00:00,81900.0
196,2021-05-09 04:00:00,81900.0
197,2021-05-09 05:00:00,81900.0
198,2021-05-09 06:00:00,81900.0
199,2021-05-09 07:00:00,81900.0
200,2021-05-09 08:00:00,81900.0
201,2021-05-09 09:00:00,81900.0
202,2021-05-09 10:00:00,81900.0
203,2021-05-09 11:00:00,81900.0
204,2021-05-09 12:00:00,81900.0
205,2021-05-09 13:00:00,81900.0
206,2021-05-09 14:00:00,81900.0
207,2021-05-09 15:00:00,81900.0
208,2021-05-09 16:00:00,81900.0
209,2021-05-09 17:00:00,81900.0
210,2021-05-09 18:00:00,81900.0
211,2021-05-09 19:00:00,81900.0
212,2021-05-09 20:00:00,81900.0
213,2021-05-09 21:00:00,81900.0
214,2021-05-09 22:00:00,81900.0
215,2021-05-09 23:00:00,81900.0
216,2021-05-10 00:00:00,81900.0
217,2021-05-10 01:00:00,81900.0
218,2021-05-10 02:00:00,81900.0
219,2021-05-10 03:00:00,81900.0
220,2021-05-10 04:00:00,81900.0
221,2021-05-10 05:00:00,81900.0
222,2021-05-10 06:00:00,81900.0
223,2021-05-10 07:00:00,81900.0
224,2021-05-10 08:00:00,81900.0
225,2021-05-10 09:00:00,81900.0
226,2021-05-10 10:00:00,82000.0
227,2021-05-10 11:00:00,82400.0
228,2021-05-10 12:00:00,82700.0
229,2021-05-10 13:00:00,82600.0
230,2021-05-10 14:00:00,83300.0
231,2021-05-10 15:00:00,83400.0
232,2021-05-10 16:00:00,83400.0
233,2021-05-10 17:00:00,83400.0
234,2021-05-10 18:00:00,83400.0
235,2021-05-10 19:00:00,83400.0
236,2021-05-10 20:00:00,83400.0
237,2021-05-10 21:00:00,83400.0
238,2021-05-10 22:00:00,83400.0
239,2021-05-10 23:00:00,83400.0
240,2021-05-11 00:00:00,83400.0
241,2021-05-11 01:00:00,83400.0
242,2021-05-11 02:00:00,83400.0
243,2021-05-11 03:00:00,83400.0
244,2021-05-11 04:00:00,83400.0
245,2021-05-11 05:00:00,83400.0
246,2021-05-11 06:00:00,83400.0
247,2021-05-11 07:00:00,83400.0
248,2021-05-11 08:00:00,83400.0
249,2021-05-11 09:00:00,83400.0
250,2021-05-11 10:00:00,81700.0
251,2021-05-11 11:00:00,81500.0
252,2021-05-11 12:00:00,81500.0
253,2021-05-11 13:00:00,81600.0
254,2021-05-11 14:00:00,81300.0
255,2021-05-11 15:00:00,81300.0
256,2021-05-11 16:00:00,81300.0
257,2021-05-11 17:00:00,81300.0
258,2021-05-11 18:00:00,81300.0
259,2021-05-11 19:00:00,81300.0
260,2021-05-11 20:00:00,81300.0
261,2021-05-11 21:00:00,81300.0
262,2021-05-11 22:00:00,81300.0
263,2021-05-11 23:00:00,81300.0
264,2021-05-12 00:00:00,81300.0
265,2021-05-12 01:00:00,81300.0
266,2021-05-12 02:00:00,81300.0
267,2021-05-12 03:00:00,81300.0
268,2021-05-12 04:00:00,81300.0
269,2021-05-12 05:00:00,81300.0
270,2021-05-12 06:00:00,81300.0
271,2021-05-12 07:00:00,81300.0
272,2021-05-12 08:00:00,81300.0
273,2021-05-12 09:00:00,81300.0
274,2021-05-12 10:00:00,80600.0
275,2021-05-12 11:00:00,80500.0
276,2021-05-12 12:00:00,80300.0
277,2021-05-12 13:00:00,79900.0
278,2021-05-12 14:00:00,79900.0
279,2021-05-12 15:00:00,80000.0
280,2021-05-12 16:00:00,80000.0
281,2021-05-12 17:00:00,80000.0
282,2021-05-12 18:00:00,80000.0
283,2021-05-12 19:00:00,80000.0
284,2021-05-12 20:00:00,80000.0
285,2021-05-12 21:00:00,80000.0
286,2021-05-12 22:00:00,80000.0
287,2021-05-12 23:00:00,80000.0
288,2021-05-13 00:00:00,80000.0
289,2021-05-13 01:00:00,80000.0
290,2021-05-13 02:00:00,80000.0
291,2021-05-13 03:00:00,80000.0
292,2021-05-13 04:00:00,80000.0
293,2021-05-13 05:00:00,80000.0
294,2021-05-13 06:00:00,80000.0
295,2021-05-13 07:00:00,80000.0
296,2021-05-13 08:00:00,80000.0
